@relation whatever
@attribute 1 real
@attribute 2 real
@attribute L {True, False}
@data
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,False
0.0,0.0,True
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,True
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,True
0.0,0.0,False
0.0,0.0,True
-29501.643986926832,69160.95062020504,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,True
-29501.643986926832,69160.95062020504,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
-28582.972240908875,69393.42179915436,True
0.0,0.0,False
-70919.04903718673,50985.667816003835,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,True
0.0,0.0,False
0.0,0.0,False
-29501.643986926832,69160.95062020504,False
0.0,0.0,True
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,False
0.0,0.0,False
0.0,0.0,False
0.0,0.0,True
0.0,0.0,False
0.0,0.0,True
-29501.643986926832,69160.95062020504,False
0.0,0.0,False
0.0,0.0,True
0.0,0.0,True
0.0,0.0,False
-28582.972240908875,69393.42179915436,False
-19097.058639128914,74056.05915078774,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
-29501.643986926832,69160.95062020504,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
-29501.643986926832,69160.95062020504,True
-48598.70262605575,143217.0097709928,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
-29501.643986926832,69160.95062020504,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
-28582.972240908875,69393.42179915436,True
-29501.643986926832,69160.95062020504,True
0.0,0.0,True
0.0,0.0,True
-24386.73268964648,71818.41242536435,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
0.0,0.0,True
